date&time,age,gender,Places ,recommendation,rate,factors,how often ,when,money_spend,effect
4/7/2026 21:03:54,18-22,Female,Café / coffee shop,Cilantro,Fair / reasonable,Atmosphere / vibe,A few times a month,In the morning,300-500,"No, price didn’t affect my enjoyment."
4/7/2026 21:06:23,18-22,Female,Restaurant (fine dining),Restaurants,Slightly expensive ·,Quality of food / drinks,Once a week,In the afternoon,600-900,"No, price didn’t affect my enjoyment."
4/7/2026 21:07:41,18-22,Female,Café / coffee shop,Mall,Slightly expensive ·,Quality of food / drinks,A few times a week,In the afternoon,300-500,"No, price didn’t affect my enjoyment."
4/7/2026 21:08:22,18-22,Female,Café / coffee shop,,Slightly expensive ·,Quality of food / drinks,A few times a month,In the morning,200 or less,"Yes, I enjoy it less because of cost ·"
4/7/2026 21:09:24,18-22,Female,Café / coffee shop,,Slightly expensive ·,Atmosphere / vibe,A few times a month,In the afternoon,300-500,"No, price didn’t affect my enjoyment."
4/7/2026 21:12:02,22+,Female,Museum / gallery / cultural venue,المتحف المصري الفي التحرير،ممشب اهل مصر،مركز البولنج الدولي، neverdidi الي في حضيقة الطفر,Fair / reasonable,Atmosphere / vibe,Once a week,At night,200 or less,"No, price didn’t affect my enjoyment."
4/7/2026 21:21:02,18-22,Female,Restaurant (casual dining) ·,كافيه هادي ,Fair / reasonable,Atmosphere / vibe,A few times a month,At night,200 or less,"No, price didn’t affect my enjoyment."
4/7/2026 21:24:14,18-22,Female,Arcade / bowling / activity venue,"Restraunts , parks on the nile",Slightly expensive ·,Location / distance,Rarely,In the afternoon,200 or less,"Yes, I enjoy it less because of cost ·"
4/7/2026 21:36:10,18-22,Female,Café / coffee shop,Cafe ,Slightly expensive ·,Atmosphere / vibe,A few times a month,In the afternoon,300-500,"No, price didn’t affect my enjoyment."
4/7/2026 22:16:43,18-22,Female,Café / coffee shop,,Slightly expensive ·,Atmosphere / vibe,A few times a month,In the afternoon,300-500,"No, price didn’t affect my enjoyment."
4/7/2026 22:20:29,18-22,Male,Museum / gallery / cultural venue,,Very cheap,Price,Daily,In the morning,200 or less,"Yes, I enjoy it less because of cost ·"
4/7/2026 22:42:06,Under 18,Female,My house,My house,Very cheap,Atmosphere / vibe,Rarely,In the afternoon,1k or more,"Yes, I enjoy it more because it felt worth it."
4/7/2026 22:57:03,Under 18,Female,Café / coffee shop,,Fair / reasonable,Atmosphere / vibe,A few times a month,In the afternoon,200 or less,"No, price didn’t affect my enjoyment."
4/7/2026 23:30:34,18-22,Female,Café / coffee shop,,Fair / reasonable,Atmosphere / vibe,A few times a week,At night,300-500,"Yes, I enjoy it more because it felt worth it."
4/7/2026 23:36:52,18-22,Female,Mall / shopping center,,Slightly expensive ·,Atmosphere / vibe,Rarely,In the afternoon,300-500,"Yes, I enjoy it more because it felt worth it."
4/8/2026 0:21:46,18-22,Female,Arcade / bowling / activity venue,cinema,Fair / reasonable,Price,A few times a month,At night,600-900,"No, price didn’t affect my enjoyment."
4/8/2026 0:22:34,18-22,Female,Arcade / bowling / activity venue,cinema ,Fair / reasonable,Price,A few times a month,At night,600-900,"Yes, I enjoy it less because of cost ·"
4/8/2026 2:48:38,18-22,Female,Café / coffee shop,,Slightly expensive ·,Quality of food / drinks,A few times a month,At night,300-500,"No, price didn’t affect my enjoyment."
4/8/2026 4:32:08,18-22,Female,Park / outdoor public space,"There is no specific place, but the overall atmosphere is a place with plants and flowers",Fair / reasonable," price, atmosphere /vibe,and Activities available",A few times a month,In the afternoon,300-500,"It varies depending on the time and place. Sometimes money is a bit of a hindrance; for example, a place might be full of activities, but each one has its own price, and they're often very high. So sometimes we can't do everything we want because of that. Or, for example, if it's food or drinks, it's the same thing. And sometimes it doesn't matter; for example, things are reasonably priced and not so high"
4/8/2026 7:29:21,18-22,Female,Arcade / bowling / activity venue,Café ,Fair / reasonable,Quality of food / drinks,Once a week,In the afternoon,300-500,"Yes, I enjoy it less because of cost ·"
4/8/2026 7:29:23,18-22,Female,Mall / shopping center,Cairo festival mall ,Fair / reasonable,Activities available,A few times a month,In the afternoon,300-500,"No, price didn’t affect my enjoyment."
4/8/2026 8:17:18,18-22,Female,Park / outdoor public space,,Fair / reasonable,Atmosphere / vibe,A few times a month,In the afternoon,300-500,"No, price didn’t affect my enjoyment."
4/8/2026 9:13:16,18-22,Female,Café / coffee shop,,Fair / reasonable,Atmosphere / vibe,A few times a week,In the afternoon,200 or less,"Yes, I enjoy it less because of cost ·"
4/8/2026 10:45:26,18-22,Male,Restaurant (casual dining) ·,,Fair / reasonable,Atmosphere / vibe,A few times a month,At night,300-500,"No, price didn’t affect my enjoyment."
4/8/2026 13:17:35,Under 18,Female,Park / outdoor public space,Malls or open markets ,Fair / reasonable,Price,A few times a month,In the afternoon,300-500,"Yes, I enjoy it less because of cost ·"
4/8/2026 13:33:17,18-22,Female,Café / coffee shop,,Fair / reasonable,Atmosphere / vibe,A few times a week,In the morning,200 or less,"Yes, I enjoy it less because of cost ·"
4/8/2026 13:40:30,18-22,Female,Mall / shopping center,Golf city mall,Slightly expensive ·,Atmosphere / vibe,A few times a month,At night,600-900,"No, price didn’t affect my enjoyment."
4/8/2026 13:44:25,18-22,Female,Restaurant (fine dining),Café,Fair / reasonable,Quality of food / drinks,A few times a week,In the afternoon,300-500,"No, price didn’t affect my enjoyment."
4/8/2026 14:03:57,18-22,Female,Arcade / bowling / activity venue,Coffe shop,Slightly expensive ·,Quality of food / drinks,Once a week,In the afternoon,200 or less,"No, price didn’t affect my enjoyment."
4/8/2026 14:04:25,18-22,Female,Café / coffee shop,,Fair / reasonable,Atmosphere / vibe,A few times a month,In the afternoon,600-900,"No, price didn’t affect my enjoyment."
4/8/2026 14:09:34,18-22,Female,Movie theater / cinema,,Fair / reasonable,Atmosphere / vibe,Once a week,In the afternoon,300-500,"Yes, I enjoy it less because of cost ·"
4/8/2026 14:22:52,22+,Male,Café / coffee shop,,Fair / reasonable,Quality of food / drinks,A few times a month,In the afternoon,300-500,"Yes, I enjoy it more because it felt worth it."
4/8/2026 14:25:54,18-22,Female,Café / coffee shop,,Fair / reasonable,Location / distance,A few times a month,At night,300-500,"Yes, I enjoy it less because of cost ·"
4/8/2026 14:44:10,18-22,Male,Café / coffee shop,Coffee shop,Fair / reasonable,Atmosphere / vibe,Once a week,At night,200 or less,"No, price didn’t affect my enjoyment."
4/8/2026 14:46:48,22+,Male,Restaurant (casual dining) ·,Shawrma,Slightly expensive ·,Price,Once a week,At night,300-500,"Yes, I enjoy it less because of cost ·"
4/8/2026 14:53:00,18-22,Female,Arcade / bowling / activity venue,,Slightly expensive ·,Atmosphere / vibe,A few times a month,In the afternoon,300-500,"Yes, I enjoy it more because it felt worth it."
